Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
48,2.0,0.0,0.0,536.0,8.0,65.0,2707.0,0.1,177.00500000000002,0.0,0.0,607.177405834198,,,,,,,,,,,,,,,,,,,,,82.78282013457384,53.94743291143894,171.96788048434092,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,591.0,9.0,55.0,2762.0,0.1,147.00500000000002,0.0,0.0,612.6866233348846,,,,,,,,,,,,,,,,,,,,,68.37319868066443,45.61622300849516,143.53139332782578,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,627.0,10.0,36.0,2798.0,0.1,87.00600000000003,0.0,0.0,616.4772517681122,,,,,,,,,,,,,,,,,,,,,38.30018463287702,28.84010051257365,85.79870496444032,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,655.0,11.0,28.0,2826.0,0.1,63.005999999999986,0.0,0.0,619.4734861850739,,,,,,,,,,,,,,,,,,,,,26.816592720227625,21.637106658389214,62.37983268937968,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,706.0,12.0,51.0,2877.0,0.1,135.00500000000002,0.0,0.0,624.7603268623352,,,,,,,,,,,,,,,,,,,,,62.59068101004929,42.24715194184087,132.07689698556163,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,754.0,13.0,48.0,2925.0,0.1,114.00900000000004,0.0,0.0,629.8568408489227,,,,,,,,,,,,,,,,,,,,,48.08374547255503,37.65057351581925,111.92471772805573,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,790.0,14.0,36.0,2961.0,0.1,81.00800000000004,0.0,0.0,633.5915615558624,,,,,,,,,,,,,,,,,,,,,33.454578448169144,27.521894652565827,79.96348217673719,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,831.0,15.0,41.0,3002.0,0.1,99.00700000000003,0.0,0.0,637.776652097702,,,,,,,,,,,,,,,,,,,,,42.99468865855959,32.68056447341025,97.43899832264601,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1014.0,16.0,183.0,3185.0,0.1,531.0049999999999,0.0,0.0,655.9913001060486,,,,,,,,,,,,,,,,,,,,,246.39831823993276,145.19318696498593,486.88739566602897,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1131.0,17.0,117.0,3302.0,0.1,309.0129999999997,0.0,0.0,667.709064245224,,,,,,,,,,,,,,,,,,,,,135.29950538032608,93.71668930174549,293.7702045093161,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1221.0,18.0,90.0,3392.0,0.1,252.00500000000002,0.0,0.0,676.3684220314026,,,,,,,,,,,,,,,,,,,,,118.46298859142229,74.29462755450047,241.82674268540015,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1262.0,19.0,41.0,3433.0,0.1,102.00600000000003,0.0,0.0,680.6075208187103,,,,,,,,,,,,,,,,,,,,,45.51176347309821,33.237008153517046,100.34059855411263,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
